,asian,associates,bachelors,black,eviction_likely,eviction_not_likely,eviction_somewhat_likely,eviction_very_unlikely,expenses_a_little_difficulty,expenses_no_difficulty,expenses_some_difficulty,expenses_very_difficult,geography,graduate,hs,job_loss_no,job_loss_yes,kids_in_hh,married,months_behind_avg,no_hs,rent_cur_no,rent_cur_yes,rental_assistance_denied,rental_assistance_not_needed,rental_assistance_recvd,rental_assistance_waiting,some_college,some_hs,survey,un_married,week,white
0,101.0,93.0,406.0,178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,282.0,155.0,768.0,519.0,531.0,199.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,339.0,14.0,1.0,1097.0,18.0,960.0
1,101.0,93.0,406.0,178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,282.0,155.0,768.0,519.0,531.0,199.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,339.0,14.0,1.0,1097.0,19.0,960.0
2,101.0,93.0,406.0,178.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,282.0,155.0,768.0,519.0,531.0,199.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,339.0,14.0,1.0,1097.0,20.0,960.0
3,98.0,107.0,359.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,261.0,131.0,684.0,475.0,482.0,191.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,20.0,1.0,975.0,18.0,813.0
4,98.0,107.0,359.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,261.0,131.0,684.0,475.0,482.0,191.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,20.0,1.0,975.0,19.0,813.0
5,98.0,107.0,359.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,261.0,131.0,684.0,475.0,482.0,191.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,20.0,1.0,975.0,20.0,813.0
6,29.0,104.0,258.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,224.0,138.0,639.0,361.0,421.0,178.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.0,15.0,1.0,829.0,18.0,858.0
7,29.0,104.0,258.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,224.0,138.0,639.0,361.0,421.0,178.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.0,15.0,1.0,829.0,19.0,858.0
8,29.0,104.0,258.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,224.0,138.0,639.0,361.0,421.0,178.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.0,15.0,1.0,829.0,20.0,858.0
9,61.0,63.0,250.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,193.0,89.0,441.0,325.0,284.0,104.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,159.0,11.0,2.0,664.0,21.0,592.0
10,61.0,63.0,250.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,193.0,89.0,441.0,325.0,284.0,104.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,159.0,11.0,2.0,664.0,22.0,592.0
11,61.0,63.0,250.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,193.0,89.0,441.0,325.0,284.0,104.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,159.0,11.0,2.0,664.0,23.0,592.0
12,57.0,61.0,188.0,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,194.0,55.0,386.0,271.0,253.0,105.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143.0,12.0,2.0,554.0,21.0,486.0
13,57.0,61.0,188.0,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,194.0,55.0,386.0,271.0,253.0,105.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143.0,12.0,2.0,554.0,22.0,486.0
14,57.0,61.0,188.0,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,194.0,55.0,386.0,271.0,253.0,105.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143.0,12.0,2.0,554.0,23.0,486.0
15,15.0,48.0,155.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,147.0,83.0,366.0,201.0,227.0,93.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,126.0,9.0,2.0,478.0,21.0,496.0
16,15.0,48.0,155.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,147.0,83.0,366.0,201.0,227.0,93.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,126.0,9.0,2.0,478.0,22.0,496.0
17,15.0,48.0,155.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,147.0,83.0,366.0,201.0,227.0,93.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,126.0,9.0,2.0,478.0,23.0,496.0
18,195.0,232.0,832.0,331.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,610.0,265.0,1538.0,1031.0,988.0,372.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,581.0,46.0,3.0,2219.0,24.0,1964.0
19,195.0,232.0,832.0,331.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,610.0,265.0,1538.0,1031.0,988.0,372.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,581.0,46.0,3.0,2219.0,25.0,1964.0
20,195.0,232.0,832.0,331.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,610.0,265.0,1538.0,1031.0,988.0,372.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,581.0,46.0,3.0,2219.0,26.0,1964.0
21,194.0,206.0,682.0,323.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,540.0,269.0,1274.0,917.0,863.0,307.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,37.0,3.0,1900.0,24.0,1601.0
22,194.0,206.0,682.0,323.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,540.0,269.0,1274.0,917.0,863.0,307.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,37.0,3.0,1900.0,25.0,1601.0
23,194.0,206.0,682.0,323.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,540.0,269.0,1274.0,917.0,863.0,307.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,37.0,3.0,1900.0,26.0,1601.0
24,53.0,162.0,458.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,382.0,225.0,1043.0,624.0,617.0,272.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,393.0,37.0,3.0,1404.0,24.0,1426.0
25,53.0,162.0,458.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,382.0,225.0,1043.0,624.0,617.0,272.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,393.0,37.0,3.0,1404.0,25.0,1426.0
26,53.0,162.0,458.0,115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,382.0,225.0,1043.0,624.0,617.0,272.0,-1.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,393.0,37.0,3.0,1404.0,26.0,1426.0
27,118.0,175.0,672.0,226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,464.0,202.0,1223.0,787.0,758.0,304.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,30.0,4.0,1714.0,27.0,1581.0
28,118.0,175.0,672.0,226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,464.0,202.0,1223.0,787.0,758.0,304.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,30.0,4.0,1714.0,28.0,1581.0
29,118.0,175.0,672.0,226.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,464.0,202.0,1223.0,787.0,758.0,304.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,461.0,30.0,4.0,1714.0,29.0,1581.0
30,150.0,147.0,516.0,265.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,480.0,191.0,1031.0,703.0,651.0,244.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,367.0,32.0,4.0,1504.0,27.0,1263.0
31,150.0,147.0,516.0,265.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,480.0,191.0,1031.0,703.0,651.0,244.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,367.0,32.0,4.0,1504.0,28.0,1263.0
32,150.0,147.0,516.0,265.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,480.0,191.0,1031.0,703.0,651.0,244.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,367.0,32.0,4.0,1504.0,29.0,1263.0
